id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
,Anzahl,,,,,,,,,,100 m²,Anzahl,100 m²
01,202866,13749,47140,72851,48644,15691,3330,1461,11441,631034,136465,5218,4284
02,154709,9424,35622,56001,37628,12242,2643,1149,9020,485271,106705,3152,2514
03,220120,7924,38963,77414,59436,24742,7694,3947,31147,756857,160878,3746,2745
04,186976,9094,35366,61394,47594,19884,7928,5716,46466,647838,147176,4720,4437
05,121041,3034,18094,42435,34182,14386,5241,3669,29592,436223,89952,1440,1138
06,158709,7352,22444,44979,41585,21616,10504,10229,84173,608794,135415,2045,1853
07,183123,8649,33842,60362,47966,20005,7449,4850,38014,632016,137382,2500,2150
08,165108,8395,37229,57050,38315,16029,5322,2768,21831,541171,115237,1927,1482
09,146287,6268,23170,47844,41793,17395,6344,3473,27522,515873,106674,1711,1283
